pc_time,packet_type,esp_millis,steer,throttle,brake,mode_id,fault_flag,status_text
2026-04-23 15:13:08.317,STATUS,24626,,,,,,FRAME_ERROR
2026-04-23 15:13:08.340,STATUS,24644,,,,,,FRAME_ERROR
2026-04-23 15:13:08.357,STATUS,24666,,,,,,FRAME_ERROR
2026-04-23 15:13:08.371,STATUS,24680,,,,,,FRAME_ERROR
2026-04-23 15:13:08.374,STATUS,24683,,,,,,FRAME_ERROR
2026-04-23 15:13:08.397,STATUS,24706,,,,,,FRAME_ERROR
2026-04-23 15:13:08.416,STATUS,24725,,,,,,FRAME_ERROR
2026-04-23 15:13:08.433,STATUS,24741,,,,,,FRAME_ERROR
2026-04-23 15:13:08.450,STATUS,24759,,,,,,FRAME_ERROR
2026-04-23 15:13:08.451,STATUS,24761,,,,,,FRAME_ERROR
2026-04-23 15:13:08.471,STATUS,24779,,,,,,FRAME_ERROR
2026-04-23 15:13:08.491,STATUS,24799,,,,,,FRAME_ERROR
2026-04-23 15:13:08.507,STATUS,24815,,,,,,FRAME_ERROR
2026-04-23 15:13:08.522,STATUS,24832,,,,,,FRAME_ERROR
2026-04-23 15:13:08.525,STATUS,24834,,,,,,FRAME_ERROR
2026-04-23 15:13:08.551,STATUS,24856,,,,,,FRAME_ERROR
2026-04-23 15:13:08.567,STATUS,24873,,,,,,FRAME_ERROR
2026-04-23 15:13:08.589,STATUS,24896,,,,,,FRAME_ERROR
2026-04-23 15:13:08.606,STATUS,24911,,,,,,FRAME_ERROR
2026-04-23 15:13:08.606,STATUS,24915,,,,,,FRAME_ERROR
2026-04-23 15:13:08.627,STATUS,24936,,,,,,FRAME_ERROR
2026-04-23 15:13:08.646,STATUS,24954,,,,,,FRAME_ERROR
2026-04-23 15:13:08.664,STATUS,24973,,,,,,FRAME_ERROR
2026-04-23 15:13:08.682,STATUS,24988,,,,,,FRAME_ERROR
2026-04-23 15:13:08.683,STATUS,24992,,,,,,FRAME_ERROR
2026-04-23 15:13:08.704,STATUS,25012,,,,,,FRAME_ERROR
2026-04-23 15:13:08.724,STATUS,25032,,,,,,FRAME_ERROR
2026-04-23 15:13:08.748,STATUS,25051,,,,,,FRAME_ERROR
2026-04-23 15:13:08.759,STATUS,25065,,,,,,FRAME_ERROR
2026-04-23 15:13:08.759,STATUS,25069,,,,,,FRAME_ERROR
2026-04-23 15:13:08.778,STATUS,25088,,,,,,FRAME_ERROR
2026-04-23 15:13:08.802,STATUS,25105,,,,,,FRAME_ERROR
